subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub33,c,r,75%,75%,0.9166666666666666
sub33,c,s,25%,25%,0.75
sub33,c,s,25%,75%,0.9166666666666666
sub33,c,s,75%,25%,0.75
sub33,c,s,75%,75%,0.8333333333333334
sub33,i,r,25%,25%,0.9166666666666666
sub33,i,r,25%,75%,0.9166666666666666
sub33,i,r,75%,25%,0.6666666666666666
sub33,i,r,75%,75%,0.9166666666666666
sub33,i,s,25%,25%,0.75
sub33,i,s,25%,75%,1
sub33,i,s,75%,25%,0.75
sub33,i,s,75%,75%,0.8333333333333334
sub34,c,r,25%,25%,0.75
sub34,c,r,25%,75%,0.9166666666666666
sub34,c,r,75%,25%,0.9166666666666666
sub34,c,r,75%,75%,0.6666666666666666
sub34,c,s,25%,25%,0.75
sub34,c,s,25%,75%,0.8333333333333334
sub34,c,s,75%,25%,1
sub34,c,s,75%,75%,0.6666666666666666
sub34,i,r,25%,25%,0.75
sub34,i,r,25%,75%,0.9166666666666666
sub34,i,r,75%,25%,0.8333333333333334
sub34,i,r,75%,75%,0.75
sub34,i,s,25%,25%,0.75
sub34,i,s,25%,75%,0.9166666666666666
sub34,i,s,75%,25%,0.5833333333333334
sub34,i,s,75%,75%,0.6666666666666666
sub35,c,r,25%,25%,1
sub35,c,r,25%,75%,1
sub35,c,r,75%,25%,0.8333333333333334
sub35,c,r,75%,75%,1
sub35,c,s,25%,25%,1
sub35,c,s,25%,75%,1
sub35,c,s,75%,25%,0.75
sub35,c,s,75%,75%,1
sub35,i,r,25%,25%,0.9166666666666666
sub35,i,r,25%,75%,0.9166666666666666
sub35,i,r,75%,25%,0.9166666666666666
sub35,i,r,75%,75%,1
sub35,i,s,25%,25%,0.9166666666666666
sub35,i,s,25%,75%,1
sub35,i,s,75%,25%,0.75
sub35,i,s,75%,75%,1
sub36,c,r,25%,25%,0.9166666666666666
sub36,c,r,25%,75%,0.9166666666666666
sub36,c,r,75%,25%,1
sub36,c,r,75%,75%,0.9166666666666666
sub36,c,s,25%,25%,1
sub36,c,s,25%,75%,0.9166666666666666
sub36,c,s,75%,25%,1
sub36,c,s,75%,75%,0.9166666666666666
sub36,i,r,25%,25%,0.6666666666666666
sub36,i,r,25%,75%,1
sub36,i,r,75%,25%,0.8333333333333334
sub36,i,r,75%,75%,0.6666666666666666
sub36,i,s,25%,25%,0.5833333333333334
sub36,i,s,25%,75%,0.9166666666666666
sub36,i,s,75%,25%,0.4166666666666667
sub36,i,s,75%,75%,0.75
sub37,c,r,25%,25%,0.9166666666666666
sub37,c,r,25%,75%,0.9166666666666666
sub37,c,r,75%,25%,1
sub37,c,r,75%,75%,1
sub37,c,s,25%,25%,1
sub37,c,s,25%,75%,0.75
sub37,c,s,75%,25%,1
sub37,c,s,75%,75%,1
sub37,i,r,25%,25%,0.8333333333333334
sub37,i,r,25%,75%,0.8333333333333334
sub37,i,r,75%,25%,0.8333333333333334
sub37,i,r,75%,75%,0.9166666666666666
sub37,i,s,25%,25%,0.6666666666666666
sub37,i,s,25%,75%,0.9166666666666666
sub37,i,s,75%,25%,0.6666666666666666
sub37,i,s,75%,75%,0.8333333333333334
sub38,c,r,25%,25%,0.9166666666666666
sub38,c,r,25%,75%,1
sub38,c,r,75%,25%,1
sub38,c,r,75%,75%,0.9166666666666666
sub38,c,s,25%,25%,1
sub38,c,s,25%,75%,1
sub38,c,s,75%,25%,1
sub38,c,s,75%,75%,1
sub38,i,r,25%,25%,1
sub38,i,r,25%,75%,1
sub38,i,r,75%,25%,1
sub38,i,r,75%,75%,0.75
sub38,i,s,25%,25%,0.75
sub38,i,s,25%,75%,0.9166666666666666
sub38,i,s,75%,25%,0.75
sub38,i,s,75%,75%,0.9166666666666666
sub39,c,r,25%,25%,0.9166666666666666
sub39,c,r,25%,75%,0.9166666666666666
sub39,c,r,75%,25%,1
sub39,c,r,75%,75%,1
sub39,c,s,25%,25%,1
sub39,c,s,25%,75%,1
sub39,c,s,75%,25%,1
sub39,c,s,75%,75%,1
sub39,i,r,25%,25%,0.75
sub39,i,r,25%,75%,0.9166666666666666
sub39,i,r,75%,25%,0.75
sub39,i,r,75%,75%,0.8333333333333334
sub39,i,s,25%,25%,0.9166666666666666
sub39,i,s,25%,75%,0.9166666666666666
sub39,i,s,75%,25%,0.5833333333333334
sub39,i,s,75%,75%,0.75
sub4,c,r,25%,25%,1
sub4,c,r,25%,75%,1
sub4,c,r,75%,25%,1
sub4,c,r,75%,75%,0.9166666666666666
sub4,c,s,25%,25%,1
sub4,c,s,25%,75%,1
sub4,c,s,75%,25%,0.6666666666666666
sub4,c,s,75%,75%,1
sub4,i,r,25%,25%,0.9166666666666666
sub4,i,r,25%,75%,1
sub4,i,r,75%,25%,0.75
sub4,i,r,75%,75%,0.75
sub4,i,s,25%,25%,1
sub4,i,s,25%,75%,0.75
sub4,i,s,75%,25%,0.4166666666666667
sub4,i,s,75%,75%,1
sub40,c,r,25%,25%,1
sub40,c,r,25%,75%,1
sub40,c,r,75%,25%,1
sub40,c,r,75%,75%,1
sub40,c,s,25%,25%,1
sub40,c,s,25%,75%,1
sub40,c,s,75%,25%,1
sub40,c,s,75%,75%,0.9166666666666666
sub40,i,r,25%,25%,1
sub40,i,r,25%,75%,0.8333333333333334
sub40,i,r,75%,25%,1
sub40,i,r,75%,75%,1
sub40,i,s,25%,25%,1
sub40,i,s,25%,75%,1
sub40,i,s,75%,25%,1
sub40,i,s,75%,75%,1
sub41,c,r,25%,25%,1
sub41,c,r,25%,75%,1
sub41,c,r,75%,25%,1
sub41,c,r,75%,75%,0.9166666666666666
sub41,c,s,25%,25%,1
sub41,c,s,25%,75%,1
sub41,c,s,75%,25%,1
sub41,c,s,75%,75%,1
sub41,i,r,25%,25%,0.8333333333333334
sub41,i,r,25%,75%,1
sub41,i,r,75%,25%,0.8333333333333334
sub41,i,r,75%,75%,1
sub41,i,s,25%,25%,0.6666666666666666
sub41,i,s,25%,75%,0.75
sub41,i,s,75%,25%,0.8333333333333334
sub41,i,s,75%,75%,1
sub42,c,r,25%,25%,1
sub42,c,r,25%,75%,1
sub42,c,r,75%,25%,1
sub42,c,r,75%,75%,0.9166666666666666
sub42,c,s,25%,25%,0.8333333333333334
sub42,c,s,25%,75%,0.8333333333333334
sub42,c,s,75%,25%,1
sub42,c,s,75%,75%,0.8333333333333334
sub42,i,r,25%,25%,0.9166666666666666
sub42,i,r,25%,75%,0.9166666666666666
sub42,i,r,75%,25%,0.8333333333333334
sub42,i,r,75%,75%,1
sub42,i,s,25%,25%,0.9166666666666666
sub42,i,s,25%,75%,0.75
sub42,i,s,75%,25%,0.75
sub42,i,s,75%,75%,0.75
sub43,c,r,25%,25%,0.9166666666666666
sub43,c,r,25%,75%,0.9166666666666666
sub43,c,r,75%,25%,1
sub43,c,r,75%,75%,1
sub43,c,s,25%,25%,1
sub43,c,s,25%,75%,1
sub43,c,s,75%,25%,1
sub43,c,s,75%,75%,0.75
sub43,i,r,25%,25%,0.8333333333333334
sub43,i,r,25%,75%,0.9166666666666666
sub43,i,r,75%,25%,0.6666666666666666
sub43,i,r,75%,75%,0.9166666666666666
sub43,i,s,25%,25%,0.5833333333333334
sub43,i,s,25%,75%,0.75
sub43,i,s,75%,25%,0.5833333333333334
sub43,i,s,75%,75%,0.75
sub44,c,r,25%,25%,0.8333333333333334
sub44,c,r,25%,75%,0.9166666666666666
sub44,c,r,75%,25%,0.8333333333333334
sub44,c,r,75%,75%,0.8333333333333334
sub44,c,s,25%,25%,0.6666666666666666
sub44,c,s,25%,75%,0.9166666666666666
sub44,c,s,75%,25%,0.6666666666666666
sub44,c,s,75%,75%,0.6666666666666666
sub44,i,r,25%,25%,0.75
sub44,i,r,25%,75%,0.8333333333333334
sub44,i,r,75%,25%,0.6666666666666666
sub44,i,r,75%,75%,0.6666666666666666
sub44,i,s,25%,25%,0.6666666666666666
sub44,i,s,25%,75%,0.6666666666666666
sub44,i,s,75%,25%,0.5833333333333334
sub44,i,s,75%,75%,0.5
sub45,c,r,25%,25%,0.8333333333333334
sub45,c,r,25%,75%,0.9166666666666666
sub45,c,r,75%,25%,0.8333333333333334
sub45,c,r,75%,75%,0.75
sub45,c,s,25%,25%,1
sub45,c,s,25%,75%,0.8333333333333334
sub45,c,s,75%,25%,0.9166666666666666
sub45,c,s,75%,75%,0.9166666666666666
sub45,i,r,25%,25%,0.75
sub45,i,r,25%,75%,0.9166666666666666
sub45,i,r,75%,25%,0.75
sub45,i,r,75%,75%,1
sub45,i,s,25%,25%,0.6666666666666666
sub45,i,s,25%,75%,0.8333333333333334
sub45,i,s,75%,25%,0.5
sub45,i,s,75%,75%,0.8333333333333334
sub46,c,r,25%,25%,0.9166666666666666
sub46,c,r,25%,75%,0.9166666666666666
sub46,c,r,75%,25%,1
sub46,c,r,75%,75%,0.9166666666666666
sub46,c,s,25%,25%,0.75
sub46,c,s,25%,75%,0.9166666666666666
sub46,c,s,75%,25%,0.9166666666666666
sub46,c,s,75%,75%,1
sub46,i,r,25%,25%,1
sub46,i,r,25%,75%,1
sub46,i,r,75%,25%,0.75
sub46,i,r,75%,75%,0.8333333333333334
sub46,i,s,25%,25%,0.6666666666666666
sub46,i,s,25%,75%,0.75
sub46,i,s,75%,25%,0.5833333333333334
sub46,i,s,75%,75%,1
sub47,c,r,25%,25%,1
sub47,c,r,25%,75%,1
sub47,c,r,75%,25%,1
sub47,c,r,75%,75%,1
sub47,c,s,25%,25%,1
sub47,c,s,25%,75%,1
sub47,c,s,75%,25%,1
sub47,c,s,75%,75%,1
sub47,i,r,25%,25%,1
sub47,i,r,25%,75%,0.75
sub47,i,r,75%,25%,0.6666666666666666
sub47,i,r,75%,75%,0.8333333333333334
sub47,i,s,25%,25%,0.9166666666666666
sub47,i,s,25%,75%,0.5833333333333334
sub47,i,s,75%,25%,0.75
sub47,i,s,75%,75%,0.9166666666666666
sub48,c,r,25%,25%,1
sub48,c,r,25%,75%,0.8333333333333334
sub48,c,r,75%,25%,0.9166666666666666
sub48,c,r,75%,75%,0.9166666666666666
sub48,c,s,25%,25%,1
sub48,c,s,25%,75%,0.8333333333333334
sub48,c,s,75%,25%,1
sub48,c,s,75%,75%,0.8333333333333334
sub48,i,r,25%,25%,0.75
sub48,i,r,25%,75%,0.9166666666666666
sub48,i,r,75%,25%,0.9166666666666666
sub48,i,r,75%,75%,0.9166666666666666
sub48,i,s,25%,25%,0.5833333333333334
sub48,i,s,25%,75%,0.8333333333333334
sub48,i,s,75%,25%,0.75
sub48,i,s,75%,75%,0.6666666666666666
sub49,c,r,25%,25%,1
sub49,c,r,25%,75%,1
sub49,c,r,75%,25%,1
sub49,c,r,75%,75%,1
sub49,c,s,25%,25%,1
sub49,c,s,25%,75%,1
sub49,c,s,75%,25%,1
sub49,c,s,75%,75%,0.8333333333333334
sub49,i,r,25%,25%,0.9166666666666666
sub49,i,r,25%,75%,1
sub49,i,r,75%,25%,1
sub49,i,r,75%,75%,0.75
sub49,i,s,25%,25%,0.75
