subject,congruency,taskSequence,switchProp,incongruentProp,mean_acc
sub31,i,r,75%,25%,0.7916666666666666
sub31,i,r,75%,75%,0.8125
sub31,i,s,25%,25%,0.8333333333333334
sub31,i,s,25%,75%,0.875
sub31,i,s,75%,25%,0.625
sub31,i,s,75%,75%,0.9029126213592233
sub32,c,r,25%,25%,0.9320388349514563
sub32,c,r,25%,75%,0.9375
sub32,c,r,75%,25%,1
sub32,c,r,75%,75%,1
sub32,c,s,25%,25%,0.875
sub32,c,s,25%,75%,0.8333333333333334
sub32,c,s,75%,25%,0.9514563106796117
sub32,c,s,75%,75%,0.875
sub32,i,r,25%,25%,0.625
sub32,i,r,25%,75%,0.941747572815534
sub32,i,r,75%,25%,0.8333333333333334
sub32,i,r,75%,75%,0.875
sub32,i,s,25%,25%,0.7083333333333334
sub32,i,s,25%,75%,0.75
sub32,i,s,75%,25%,0.8125
sub32,i,s,75%,75%,0.6019417475728155
sub33,c,r,25%,25%,0.912621359223301
sub33,c,r,25%,75%,0.875
sub33,c,r,75%,25%,1
sub33,c,r,75%,75%,0.875
sub33,c,s,25%,25%,0.75
sub33,c,s,25%,75%,0.875
sub33,c,s,75%,25%,0.8640776699029126
sub33,c,s,75%,75%,0.875
sub33,i,r,25%,25%,0.875
sub33,i,r,25%,75%,0.8737864077669902
sub33,i,r,75%,25%,0.6666666666666666
sub33,i,r,75%,75%,0.8125
sub33,i,s,25%,25%,0.8333333333333334
sub33,i,s,25%,75%,1
sub33,i,s,75%,25%,0.75
sub33,i,s,75%,75%,0.8349514563106796
sub34,c,r,25%,25%,0.8932038834951457
sub34,c,r,25%,75%,0.875
sub34,c,r,75%,25%,0.9375
sub34,c,r,75%,75%,0.7083333333333334
sub34,c,s,25%,25%,0.75
sub34,c,s,25%,75%,0.7083333333333334
sub34,c,s,75%,25%,0.9029126213592233
sub34,c,s,75%,75%,0.75
sub34,i,r,25%,25%,0.75
sub34,i,r,25%,75%,0.9320388349514563
sub34,i,r,75%,25%,0.875
sub34,i,r,75%,75%,0.8125
sub34,i,s,25%,25%,0.6666666666666666
sub34,i,s,25%,75%,0.875
sub34,i,s,75%,25%,0.6875
sub34,i,s,75%,75%,0.8155339805825242
sub35,c,r,25%,25%,1
sub35,c,r,25%,75%,1
sub35,c,r,75%,25%,0.875
sub35,c,r,75%,75%,1
sub35,c,s,25%,25%,1
sub35,c,s,25%,75%,0.9583333333333334
sub35,c,s,75%,25%,0.8932038834951457
sub35,c,s,75%,75%,1
sub35,i,r,25%,25%,0.9375
sub35,i,r,25%,75%,0.9320388349514563
sub35,i,r,75%,25%,0.9166666666666666
sub35,i,r,75%,75%,1
sub35,i,s,25%,25%,0.9583333333333334
sub35,i,s,25%,75%,1
sub35,i,s,75%,25%,0.8125
sub35,i,s,75%,75%,0.9805825242718447
sub36,c,r,25%,25%,0.9902912621359223
sub36,c,r,25%,75%,0.9375
sub36,c,r,75%,25%,1
sub36,c,r,75%,75%,0.9583333333333334
sub36,c,s,25%,25%,1
sub36,c,s,25%,75%,0.875
sub36,c,s,75%,25%,1
sub36,c,s,75%,75%,0.9375
sub36,i,r,25%,25%,0.6875
sub36,i,r,25%,75%,0.970873786407767
sub36,i,r,75%,25%,0.8333333333333334
sub36,i,r,75%,75%,0.625
sub36,i,s,25%,25%,0.375
sub36,i,s,25%,75%,0.875
sub36,i,s,75%,25%,0.5
sub36,i,s,75%,75%,0.7766990291262136
sub37,c,r,25%,25%,0.9223300970873787
sub37,c,r,25%,75%,0.9375
sub37,c,r,75%,25%,1
sub37,c,r,75%,75%,0.9583333333333334
sub37,c,s,25%,25%,1
sub37,c,s,25%,75%,0.8333333333333334
sub37,c,s,75%,25%,0.9902912621359223
sub37,c,s,75%,75%,1
sub37,i,r,25%,25%,0.75
sub37,i,r,25%,75%,0.9320388349514563
sub37,i,r,75%,25%,0.875
sub37,i,r,75%,75%,0.9375
sub37,i,s,25%,25%,0.7916666666666666
sub37,i,s,25%,75%,0.875
sub37,i,s,75%,25%,0.6875
sub37,i,s,75%,75%,0.8349514563106796
sub38,c,r,25%,25%,0.9514563106796117
sub38,c,r,25%,75%,1
sub38,c,r,75%,25%,1
sub38,c,r,75%,75%,0.9583333333333334
sub38,c,s,25%,25%,1
sub38,c,s,25%,75%,1
sub38,c,s,75%,25%,0.9805825242718447
sub38,c,s,75%,75%,1
sub38,i,r,25%,25%,1
sub38,i,r,25%,75%,0.970873786407767
sub38,i,r,75%,25%,1
sub38,i,r,75%,75%,0.75
sub38,i,s,25%,25%,0.7916666666666666
sub38,i,s,25%,75%,0.875
sub38,i,s,75%,25%,0.8125
sub38,i,s,75%,75%,0.941747572815534
sub39,c,r,25%,25%,0.970873786407767
sub39,c,r,25%,75%,0.9375
sub39,c,r,75%,25%,1
sub39,c,r,75%,75%,1
sub39,c,s,25%,25%,1
sub39,c,s,25%,75%,0.9166666666666666
sub39,c,s,75%,25%,0.9611650485436893
sub39,c,s,75%,75%,1
sub39,i,r,25%,25%,0.8125
sub39,i,r,25%,75%,0.9320388349514563
sub39,i,r,75%,25%,0.8333333333333334
sub39,i,r,75%,75%,0.875
sub39,i,s,25%,25%,0.8333333333333334
sub39,i,s,25%,75%,0.9375
sub39,i,s,75%,25%,0.6875
sub39,i,s,75%,75%,0.8252427184466019
sub4,c,r,25%,25%,0.9805825242718447
sub4,c,r,25%,75%,1
sub4,c,r,75%,25%,0.9375
sub4,c,r,75%,75%,0.9583333333333334
sub4,c,s,25%,25%,1
sub4,c,s,25%,75%,0.9583333333333334
sub4,c,s,75%,25%,0.7961165048543689
sub4,c,s,75%,75%,1
sub4,i,r,25%,25%,0.9375
sub4,i,r,25%,75%,0.941747572815534
sub4,i,r,75%,25%,0.875
sub4,i,r,75%,75%,0.75
sub4,i,s,25%,25%,0.8333333333333334
sub4,i,s,25%,75%,0.75
sub4,i,s,75%,25%,0.5
sub4,i,s,75%,75%,0.9805825242718447
sub40,c,r,25%,25%,1
sub40,c,r,25%,75%,1
sub40,c,r,75%,25%,1
sub40,c,r,75%,75%,1
sub40,c,s,25%,25%,1
sub40,c,s,25%,75%,0.9583333333333334
sub40,c,s,75%,25%,1
sub40,c,s,75%,75%,0.9375
sub40,i,r,25%,25%,1
sub40,i,r,25%,75%,0.9514563106796117
sub40,i,r,75%,25%,1
sub40,i,r,75%,75%,1
sub40,i,s,25%,25%,1
sub40,i,s,25%,75%,1
sub40,i,s,75%,25%,0.9375
sub40,i,s,75%,75%,0.9611650485436893
