subject,r_c_25%_25%,r_c_25%_75%,r_c_75%_25%,r_c_75%_75%,r_i_25%_25%,r_i_25%_75%,r_i_75%_25%,r_i_75%_75%,s_c_25%_25%,s_c_25%_75%,s_c_75%_25%,s_c_75%_75%,s_i_25%_25%,s_i_25%_75%,s_i_75%_25%,s_i_75%_75%
sub34,1039.111111111111,1082.3636363636363,1072.6363636363637,1162.25,1129.888888888889,1093.909090909091,1071.4,1135.111111111111,1053.7777777777778,1239.5,1138.5833333333333,1130.75,1049.3333333333333,1086.3636363636363,1169.857142857143,1143.875
sub35,787.5833333333334,924.1666666666666,871.3333333333334,876.1666666666666,840.6363636363636,797,926.0909090909091,908,879.4166666666666,924.0833333333334,971.2222222222222,847,964.3636363636364,862.8333333333334,929.2222222222222,929.1666666666666
sub36,967.5454545454545,940.3636363636364,839.5,969.2727272727273,1014.875,1047.1666666666667,982.1,1035.25,892.1666666666666,1001.3636363636364,906.25,978.0909090909091,982.1428571428571,1120.2727272727273,1177.8,1021
sub37,917.5454545454545,1036.3636363636363,929.9166666666666,1044.25,1123.8,993.2,1191.2,1123.909090909091,1088.3333333333333,1037.2222222222222,1057.4166666666667,1129.75,1229.25,1054.7272727272727,1117.625,1161.2
sub38,1005.9,1012.8333333333334,934.5833333333334,1090,1035.25,1010,1067.75,998.7777777777778,1040.25,1038.3333333333333,1011.5,1094.6363636363637,1037,993.3636363636364,934.6666666666666,1106.6363636363637
sub39,817.9090909090909,843.3636363636364,955.75,897.6666666666666,1008,898.7272727272727,1084.2222222222222,983.6,952.8333333333334,870.6666666666666,851.8333333333334,966.5833333333334,1114.6363636363637,1081.6363636363637,1105.142857142857,1037.6666666666667
sub4,960.75,1008.0833333333334,1009,922.3636363636364,1025.6363636363637,1053.25,1017.1111111111111,997.2222222222222,1057.5,1135.1818181818182,1028.125,875.3333333333334,1050.8333333333333,1050,1210,990.5
sub40,787.1666666666666,682.25,667,900.5,787.25,738.8,688.1666666666666,919.4166666666666,825.75,808.5833333333334,746.5,994.1818181818181,846.75,904.75,889.5,959.8333333333334
sub41,893.9166666666666,972.8333333333334,884.6666666666666,937.8181818181819,961.7,981.0833333333334,963.3,1002,988,896.9166666666666,828.5,985.0833333333334,1058.75,966.3333333333334,1031.7,1038.4166666666667
sub42,821.3333333333334,808.0833333333334,765.5833333333334,852.0909090909091,937.4545454545455,808.7,879.7,811,934.4,878.2,848.4166666666666,943.1,994.1818181818181,947.6666666666666,909.2222222222222,884.1111111111111
sub43,941.7272727272727,959.6363636363636,922.5833333333334,1012.5,1021.4,995.9090909090909,927.625,1060,858.4166666666666,964.5,865.6666666666666,1017.6666666666666,958.7142857142857,973.8888888888889,1053.142857142857,1011.2222222222222
sub44,895.6,888.4545454545455,868.7,834.3,968.4444444444445,1119.1,891.25,883,1006.25,1131.1818181818182,906,1039.25,979.25,1238.375,902.4285714285714,1123.8
sub45,977.5,1113.5454545454545,975.7,1145,1123,1050.7272727272727,1132.4444444444443,1167.0833333333333,1022.8333333333334,1227.7,1072.3636363636363,1306.909090909091,1101,1188.8,1025.6666666666667,1178.1
sub46,951.3636363636364,918.4545454545455,948.8333333333334,1080.2727272727273,997.4166666666666,922,991.8888888888889,1116.1,1101.5555555555557,1019.4545454545455,1087,1034.8333333333333,1114.625,941.8888888888889,1145.5714285714287,1010.5
sub47,965.5,1110,1017.6666666666666,1056.5833333333333,1031.6666666666667,977.2222222222222,1055.75,1055.7,950.1666666666666,1159.4166666666667,958.5833333333334,1049.25,1121.2727272727273,1278.857142857143,1171,1245.6363636363637
sub48,1079.5833333333333,1090.8,1039.909090909091,1075.3636363636363,1152.3333333333333,1026.090909090909,992.9090909090909,992.6363636363636,1050.75,1186.2,1035,1073,1124.4285714285713,1135.3,1091.4444444444443,1251.75
sub49,720.1666666666666,803.75,705,865.6666666666666,745.2727272727273,765.0833333333334,714.8333333333334,985.1111111111111,769.3333333333334,768.75,704.75,814.1,819.7777777777778,900.3636363636364,821.5,903.4285714285714
sub5,918.5,825.5454545454545,827.5,878.4,903.375,837.6666666666666,913.6363636363636,959.75,966.9166666666666,874,862.6666666666666,858.9166666666666,1103.2,916.1666666666666,884.9,944.3636363636364
sub50,943.75,960.5,948.5833333333334,1040.3636363636363,1065.4285714285713,1157.5,942,1101.857142857143,973.6666666666666,1117.5454545454545,902.2727272727273,1060.5,1073.5555555555557,1109,1190.3333333333333,1146.875
sub51,853.1666666666666,864,849.0833333333334,853.6666666666666,927.2727272727273,874.3636363636364,910.5,863.5,960.4545454545455,929.3333333333334,871.75,890,1037.6666666666667,1088.5,944.2222222222222,995.2
sub52,1019.5454545454545,972.7777777777778,979,943.6,989.9090909090909,1021,1152.6666666666667,1006.9166666666666,994.9090909090909,1021.5,1055.9,953.0909090909091,957.9,1076.2,967.4,944.8181818181819
sub53,1018.3636363636364,1007.8333333333334,1095.9166666666667,1100.5,999.2727272727273,1114.1818181818182,1100.7,1153.9166666666667,948.2727272727273,1114.5833333333333,1120.6666666666667,1115.75,1199.7777777777778,1103.1,1132,1067
sub54,882.2727272727273,956.6363636363636,1149.125,929.7272727272727,992.4444444444445,943.7777777777778,1029.2,1015.9,990.8333333333334,1162.3333333333333,992.3,949.3333333333334,982.7777777777778,1173.5714285714287,1216.8,1032
sub55,991.9090909090909,1003,1022.3333333333334,1012.9166666666666,1149.75,1060.1,1131.2222222222222,1165.25,1165.75,1039.8333333333333,999,946,1131.2857142857142,1137.9166666666667,1041.6666666666667,1092.25
sub56,592.6,646.6666666666666,789.3636363636364,706.25,809,697.875,879.5555555555555,761.5,953.3636363636364,840.7272727272727,934.3,952.6666666666666,782.2857142857143,861.1428571428571,854.75,896.4
sub57,763.8,862.75,840.7,885.1666666666666,842.7142857142857,872.4545454545455,903.1,994.3333333333334,893.6666666666666,1033,761.4166666666666,873.1666666666666,1023.7142857142857,1117.8,1096.4285714285713,1096.090909090909
sub6,975.5,935.5,912.5,1066.3333333333333,956.5,883.2727272727273,933.7,1023.4545454545455,1004.4545454545455,1021.3636363636364,928.1666666666666,1092.1666666666667,1082.6666666666667,973.2,1029.5454545454545,1064.375
sub7,949.6,994.2222222222222,1040.090909090909,1097,1045.3333333333333,933,1049.375,1029.5,1198.25,1091.2727272727273,1054.2,1032.6363636363637,1233.8,1017.375,1174.142857142857,1001.6
sub8,963.25,928.9090909090909,942.1818181818181,1054.909090909091,907.3636363636364,901.0909090909091,1028.75,883,940.75,984.5454545454545,963.5454545454545,917.9090909090909,1043.909090909091,1048.3636363636363,963,904.1818181818181
sub9,960.3333333333334,999.9166666666666,883.5833333333334,1102.5,1091.8,957.3636363636364,1079.4166666666667,1152.875,963.9166666666666,1017.6666666666666,974.3333333333334,1095.5,1140.5,1066.909090909091,1034.8181818181818,1025.4285714285713
