subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub30,n,r,75%,25%,1
sub30,n,r,75%,75%,1
sub30,n,s,25%,25%,1
sub30,n,s,25%,75%,0.75
sub30,n,s,75%,25%,1
sub30,n,s,75%,75%,1
sub31,d,r,25%,25%,1
sub31,d,r,25%,75%,1
sub31,d,r,75%,25%,1
sub31,d,r,75%,75%,0.8333333333333334
sub31,d,s,25%,25%,0.5833333333333334
sub31,d,s,25%,75%,0.8333333333333334
sub31,d,s,75%,25%,0.9166666666666666
sub31,d,s,75%,75%,0.9166666666666666
sub31,n,r,25%,25%,0.8333333333333334
sub31,n,r,25%,75%,0.9166666666666666
sub31,n,r,75%,25%,1
sub31,n,r,75%,75%,0.9166666666666666
sub31,n,s,25%,25%,0.9166666666666666
sub31,n,s,25%,75%,1
sub31,n,s,75%,25%,0.9166666666666666
sub31,n,s,75%,75%,1
sub32,d,r,25%,25%,1
sub32,d,r,25%,75%,0.9166666666666666
sub32,d,r,75%,25%,0.9166666666666666
sub32,d,r,75%,75%,1
sub32,d,s,25%,25%,1
sub32,d,s,25%,75%,0.8333333333333334
sub32,d,s,75%,25%,0.9166666666666666
sub32,d,s,75%,75%,0.8333333333333334
sub32,n,r,25%,25%,1
sub32,n,r,25%,75%,1
sub32,n,r,75%,25%,1
sub32,n,r,75%,75%,0.9166666666666666
sub32,n,s,25%,25%,1
sub32,n,s,25%,75%,0.5833333333333334
sub32,n,s,75%,25%,0.9166666666666666
sub32,n,s,75%,75%,0.8333333333333334
sub33,d,r,25%,25%,0.9166666666666666
sub33,d,r,25%,75%,0.6666666666666666
sub33,d,r,75%,25%,0.9166666666666666
sub33,d,r,75%,75%,0.9166666666666666
sub33,d,s,25%,25%,0.9166666666666666
sub33,d,s,25%,75%,0.9166666666666666
sub33,d,s,75%,25%,0.9166666666666666
sub33,d,s,75%,75%,0.9166666666666666
sub33,n,r,25%,25%,0.9166666666666666
sub33,n,r,25%,75%,0.9166666666666666
sub33,n,r,75%,25%,1
sub33,n,r,75%,75%,0.8333333333333334
sub33,n,s,25%,25%,0.9166666666666666
sub33,n,s,25%,75%,1
sub33,n,s,75%,25%,0.9166666666666666
sub33,n,s,75%,75%,0.9166666666666666
sub34,d,r,25%,25%,0.8333333333333334
sub34,d,r,25%,75%,0.8333333333333334
sub34,d,r,75%,25%,0.6666666666666666
sub34,d,r,75%,75%,0.5833333333333334
sub34,d,s,25%,25%,0.75
sub34,d,s,25%,75%,0.8333333333333334
sub34,d,s,75%,25%,0.5833333333333334
sub34,d,s,75%,75%,0.4166666666666667
sub34,n,r,25%,25%,0.9166666666666666
sub34,n,r,25%,75%,1
sub34,n,r,75%,25%,0.8333333333333334
sub34,n,r,75%,75%,0.8333333333333334
sub34,n,s,25%,25%,0.9166666666666666
sub34,n,s,25%,75%,0.75
sub34,n,s,75%,25%,0.75
sub34,n,s,75%,75%,0.6666666666666666
sub35,d,r,25%,25%,0.9166666666666666
sub35,d,r,25%,75%,0.8333333333333334
sub35,d,r,75%,25%,0.8333333333333334
sub35,d,r,75%,75%,1
sub35,d,s,25%,25%,0.8333333333333334
sub35,d,s,25%,75%,1
sub35,d,s,75%,25%,0.8333333333333334
sub35,d,s,75%,75%,1
sub35,n,r,25%,25%,0.75
sub35,n,r,25%,75%,1
sub35,n,r,75%,25%,1
sub35,n,r,75%,75%,1
sub35,n,s,25%,25%,1
sub35,n,s,25%,75%,1
sub35,n,s,75%,25%,0.8333333333333334
sub35,n,s,75%,75%,0.8333333333333334
sub36,d,r,25%,25%,0.8333333333333334
sub36,d,r,25%,75%,0.9166666666666666
sub36,d,r,75%,25%,0.9166666666666666
sub36,d,r,75%,75%,0.8333333333333334
sub36,d,s,25%,25%,0.75
sub36,d,s,25%,75%,0.75
sub36,d,s,75%,25%,0.9166666666666666
sub36,d,s,75%,75%,0.75
sub36,n,r,25%,25%,0.9166666666666666
sub36,n,r,25%,75%,1
sub36,n,r,75%,25%,0.8333333333333334
sub36,n,r,75%,75%,0.9166666666666666
sub36,n,s,25%,25%,0.5
sub36,n,s,25%,75%,0.9166666666666666
sub36,n,s,75%,25%,0.6666666666666666
sub36,n,s,75%,75%,0.75
sub37,d,r,25%,25%,0.9166666666666666
