subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub31,d,s,25%,25%,0.7916666666666666
sub31,d,s,25%,75%,0.8125
sub31,d,s,75%,25%,0.9375
sub31,d,s,75%,75%,0.9029126213592233
sub31,n,r,25%,25%,0.941747572815534
sub31,n,r,25%,75%,0.9375
sub31,n,r,75%,25%,1
sub31,n,r,75%,75%,0.9166666666666666
sub31,n,s,25%,25%,0.75
sub31,n,s,25%,75%,0.9583333333333334
sub31,n,s,75%,25%,0.970873786407767
sub31,n,s,75%,75%,1
sub32,d,r,25%,25%,1
sub32,d,r,25%,75%,0.9320388349514563
sub32,d,r,75%,25%,0.9166666666666666
sub32,d,r,75%,75%,1
sub32,d,s,25%,25%,0.9583333333333334
sub32,d,s,25%,75%,0.75
sub32,d,s,75%,25%,0.8125
sub32,d,s,75%,75%,0.8349514563106796
sub32,n,r,25%,25%,0.9805825242718447
sub32,n,r,25%,75%,1
sub32,n,r,75%,25%,1
sub32,n,r,75%,75%,0.9583333333333334
sub32,n,s,25%,25%,1
sub32,n,s,25%,75%,0.7083333333333334
sub32,n,s,75%,25%,0.9029126213592233
sub32,n,s,75%,75%,0.875
sub33,d,r,25%,25%,0.9375
sub33,d,r,25%,75%,0.9320388349514563
sub33,d,r,75%,25%,0.9166666666666666
sub33,d,r,75%,75%,0.9375
sub33,d,s,25%,25%,0.9166666666666666
sub33,d,s,25%,75%,0.9375
sub33,d,s,75%,25%,0.875
sub33,d,s,75%,75%,0.8932038834951457
sub33,n,r,25%,25%,0.941747572815534
sub33,n,r,25%,75%,0.9375
sub33,n,r,75%,25%,1
sub33,n,r,75%,75%,0.8333333333333334
sub33,n,s,25%,25%,0.875
sub33,n,s,25%,75%,0.9583333333333334
sub33,n,s,75%,25%,0.912621359223301
sub33,n,s,75%,75%,0.875
sub34,d,r,25%,25%,0.875
sub34,d,r,25%,75%,0.883495145631068
sub34,d,r,75%,25%,0.75
sub34,d,r,75%,75%,0.625
sub34,d,s,25%,25%,0.7083333333333334
sub34,d,s,25%,75%,0.875
sub34,d,s,75%,25%,0.5625
sub34,d,s,75%,75%,0.5631067961165048
sub34,n,r,25%,25%,0.9514563106796117
sub34,n,r,25%,75%,0.9375
sub34,n,r,75%,25%,0.8125
sub34,n,r,75%,75%,0.8333333333333334
sub34,n,s,25%,25%,0.8125
sub34,n,s,25%,75%,0.6666666666666666
sub34,n,s,75%,25%,0.8058252427184466
sub34,n,s,75%,75%,0.6875
sub35,d,r,25%,25%,0.875
sub35,d,r,25%,75%,0.9029126213592233
sub35,d,r,75%,25%,0.8333333333333334
sub35,d,r,75%,75%,1
sub35,d,s,25%,25%,0.75
sub35,d,s,25%,75%,0.9375
sub35,d,s,75%,25%,0.875
sub35,d,s,75%,75%,0.941747572815534
sub35,n,r,25%,25%,0.912621359223301
sub35,n,r,25%,75%,1
sub35,n,r,75%,25%,0.9375
sub35,n,r,75%,75%,0.9166666666666666
sub35,n,s,25%,25%,0.875
sub35,n,s,25%,75%,0.875
sub35,n,s,75%,25%,0.912621359223301
sub35,n,s,75%,75%,0.8125
sub36,d,r,25%,25%,0.8125
sub36,d,r,25%,75%,0.8640776699029126
sub36,d,r,75%,25%,0.9166666666666666
sub36,d,r,75%,75%,0.8125
sub36,d,s,25%,25%,0.75
sub36,d,s,25%,75%,0.75
sub36,d,s,75%,25%,0.75
sub36,d,s,75%,75%,0.8252427184466019
sub36,n,r,25%,25%,0.8446601941747572
sub36,n,r,25%,75%,1
sub36,n,r,75%,25%,0.8125
sub36,n,r,75%,75%,0.9166666666666666
sub36,n,s,25%,25%,0.625
sub36,n,s,25%,75%,0.8333333333333334
sub36,n,s,75%,25%,0.8349514563106796
sub36,n,s,75%,75%,0.75
sub37,d,r,25%,25%,0.9375
sub37,d,r,25%,75%,0.9902912621359223
sub37,d,r,75%,25%,1
sub37,d,r,75%,75%,0.9375
sub37,d,s,25%,25%,1
sub37,d,s,25%,75%,1
sub37,d,s,75%,25%,0.9375
sub37,d,s,75%,75%,0.970873786407767
sub37,n,r,25%,25%,0.970873786407767
sub37,n,r,25%,75%,1
sub37,n,r,75%,25%,1
sub37,n,r,75%,75%,1
sub37,n,s,25%,25%,0.9375
sub37,n,s,25%,75%,1
sub37,n,s,75%,25%,0.9611650485436893
sub37,n,s,75%,75%,0.9375
sub38,d,r,25%,25%,1
sub38,d,r,25%,75%,0.9223300970873787
sub38,d,r,75%,25%,1
sub38,d,r,75%,75%,1
sub38,d,s,25%,25%,0.8333333333333334
sub38,d,s,25%,75%,1
sub38,d,s,75%,25%,0.9375
sub38,d,s,75%,75%,0.9611650485436893
sub38,n,r,25%,25%,0.9514563106796117
sub38,n,r,25%,75%,0.9375
sub38,n,r,75%,25%,0.875
sub38,n,r,75%,75%,1
sub38,n,s,25%,25%,1
sub38,n,s,25%,75%,0.9583333333333334
sub38,n,s,75%,25%,0.9320388349514563
sub38,n,s,75%,75%,1
sub39,d,r,25%,25%,1
sub39,d,r,25%,75%,0.9514563106796117
sub39,d,r,75%,25%,0.875
sub39,d,r,75%,75%,1
sub39,d,s,25%,25%,1
sub39,d,s,25%,75%,1
sub39,d,s,75%,25%,0.9375
sub39,d,s,75%,75%,0.9223300970873787
sub39,n,r,25%,25%,0.9514563106796117
sub39,n,r,25%,75%,1
sub39,n,r,75%,25%,0.9375
sub39,n,r,75%,75%,0.9583333333333334
sub39,n,s,25%,25%,0.875
sub39,n,s,25%,75%,0.9583333333333334
sub39,n,s,75%,25%,0.9320388349514563
sub39,n,s,75%,75%,0.9375
sub4,d,r,25%,25%,1
sub4,d,r,25%,75%,1
sub4,d,r,75%,25%,1
sub4,d,r,75%,75%,1
sub4,d,s,25%,25%,1
sub4,d,s,25%,75%,1
sub4,d,s,75%,25%,1
sub4,d,s,75%,75%,1
sub4,n,r,25%,25%,1
sub4,n,r,25%,75%,1
sub4,n,r,75%,25%,1
sub4,n,r,75%,75%,0.9583333333333334
sub4,n,s,25%,25%,1
sub4,n,s,25%,75%,1
sub4,n,s,75%,25%,1
sub4,n,s,75%,75%,1
sub40,d,r,25%,25%,0.9375
sub40,d,r,25%,75%,0.9611650485436893
sub40,d,r,75%,25%,0.9583333333333334
sub40,d,r,75%,75%,1
sub40,d,s,25%,25%,0.9166666666666666
sub40,d,s,25%,75%,0.9375
sub40,d,s,75%,25%,0.8125
sub40,d,s,75%,75%,0.9320388349514563
sub40,n,r,25%,25%,0.9902912621359223
sub40,n,r,25%,75%,1
sub40,n,r,75%,25%,1
sub40,n,r,75%,75%,1
sub40,n,s,25%,25%,1
sub40,n,s,25%,75%,0.9583333333333334
sub40,n,s,75%,25%,0.9805825242718447
sub40,n,s,75%,75%,1
sub41,d,r,25%,25%,1
sub41,d,r,25%,75%,0.970873786407767
sub41,d,r,75%,25%,0.9166666666666666
sub41,d,r,75%,75%,1
sub41,d,s,25%,25%,1
sub41,d,s,25%,75%,1
sub41,d,s,75%,25%,1
sub41,d,s,75%,75%,0.941747572815534
sub41,n,r,25%,25%,0.970873786407767
sub41,n,r,25%,75%,1
sub41,n,r,75%,25%,1
sub41,n,r,75%,75%,0.9166666666666666
sub41,n,s,25%,25%,0.875
sub41,n,s,25%,75%,0.9583333333333334
sub41,n,s,75%,25%,0.9611650485436893
sub41,n,s,75%,75%,1
sub42,d,r,25%,25%,0.9375
sub42,d,r,25%,75%,0.941747572815534
sub42,d,r,75%,25%,0.9166666666666666
sub42,d,r,75%,75%,0.875
sub42,d,s,25%,25%,0.8333333333333334
sub42,d,s,25%,75%,0.875
sub42,d,s,75%,25%,0.875
sub42,d,s,75%,75%,0.8252427184466019
sub42,n,r,25%,25%,0.9320388349514563
sub42,n,r,25%,75%,1
sub42,n,r,75%,25%,1
sub42,n,r,75%,75%,0.8333333333333334
sub42,n,s,25%,25%,0.9375
sub42,n,s,25%,75%,0.9583333333333334
sub42,n,s,75%,25%,0.9029126213592233
sub42,n,s,75%,75%,0.75
sub43,d,r,25%,25%,0.875
sub43,d,r,25%,75%,0.941747572815534
sub43,d,r,75%,25%,0.7916666666666666
sub43,d,r,75%,75%,0.8125
sub43,d,s,25%,25%,0.7083333333333334
sub43,d,s,25%,75%,0.875
sub43,d,s,75%,25%,0.875
sub43,d,s,75%,75%,0.8640776699029126
sub43,n,r,25%,25%,0.8543689320388349
sub43,n,r,25%,75%,0.875
sub43,n,r,75%,25%,0.8125
sub43,n,r,75%,75%,0.7916666666666666
sub43,n,s,25%,25%,0.5625
sub43,n,s,25%,75%,0.875
sub43,n,s,75%,25%,0.8737864077669902
sub43,n,s,75%,75%,1
sub44,d,r,25%,25%,0.9375
sub44,d,r,25%,75%,0.941747572815534
sub44,d,r,75%,25%,0.9583333333333334
sub44,d,r,75%,75%,1
sub44,d,s,25%,25%,0.8333333333333334
sub44,d,s,25%,75%,1
sub44,d,s,75%,25%,0.75
sub44,d,s,75%,75%,0.9320388349514563
sub44,n,r,25%,25%,0.9611650485436893
sub44,n,r,25%,75%,1
sub44,n,r,75%,25%,0.9375
sub44,n,r,75%,75%,1
sub44,n,s,25%,25%,0.875
sub44,n,s,25%,75%,0.9583333333333334
sub44,n,s,75%,25%,0.9514563106796117
sub44,n,s,75%,75%,1
sub45,d,r,25%,25%,1
sub45,d,r,25%,75%,0.9223300970873787
sub45,d,r,75%,25%,0.75
sub45,d,r,75%,75%,1
sub45,d,s,25%,25%,0.8333333333333334
sub45,d,s,25%,75%,0.875
sub45,d,s,75%,25%,0.9375
sub45,d,s,75%,75%,0.9320388349514563
sub45,n,r,25%,25%,0.970873786407767
sub45,n,r,25%,75%,0.9375
sub45,n,r,75%,25%,0.9375
sub45,n,r,75%,75%,0.9166666666666666
sub45,n,s,25%,25%,1
sub45,n,s,25%,75%,0.8333333333333334
sub45,n,s,75%,25%,0.8252427184466019
sub45,n,s,75%,75%,0.875
sub46,d,r,25%,25%,0.875
sub46,d,r,25%,75%,0.9805825242718447
sub46,d,r,75%,25%,0.8333333333333334
sub46,d,r,75%,75%,0.9375
sub46,d,s,25%,25%,0.75
sub46,d,s,25%,75%,0.9375
sub46,d,s,75%,25%,0.875
sub46,d,s,75%,75%,0.912621359223301
sub46,n,r,25%,25%,0.9514563106796117
sub46,n,r,25%,75%,1
sub46,n,r,75%,25%,0.9375
sub46,n,r,75%,75%,0.875
sub46,n,s,25%,25%,0.9375
sub46,n,s,25%,75%,0.9583333333333334
sub46,n,s,75%,25%,0.7766990291262136
sub46,n,s,75%,75%,1
sub47,d,r,25%,25%,1
sub47,d,r,25%,75%,0.9514563106796117
sub47,d,r,75%,25%,0.9583333333333334
sub47,d,r,75%,75%,0.9375
sub47,d,s,25%,25%,0.875
sub47,d,s,25%,75%,0.875
sub47,d,s,75%,25%,0.9375
sub47,d,s,75%,75%,0.9223300970873787
sub47,n,r,25%,25%,0.941747572815534
sub47,n,r,25%,75%,0.9375
sub47,n,r,75%,25%,0.9375
sub47,n,r,75%,75%,1
sub47,n,s,25%,25%,0.875
sub47,n,s,25%,75%,0.9583333333333334
sub47,n,s,75%,25%,0.9514563106796117
sub47,n,s,75%,75%,0.8125
sub48,d,r,25%,25%,1
sub48,d,r,25%,75%,0.883495145631068
sub48,d,r,75%,25%,0.625
sub48,d,r,75%,75%,0.8125
sub48,d,s,25%,25%,0.8333333333333334
sub48,d,s,25%,75%,0.6875
sub48,d,s,75%,25%,0.5625
sub48,d,s,75%,75%,0.7669902912621359
sub48,n,r,25%,25%,0.9611650485436893
sub48,n,r,25%,75%,0.9375
sub48,n,r,75%,25%,0.875
sub48,n,r,75%,75%,0.7916666666666666
sub48,n,s,25%,25%,0.875
sub48,n,s,25%,75%,0.7916666666666666
sub48,n,s,75%,25%,0.8349514563106796
sub48,n,s,75%,75%,0.75
sub49,d,r,25%,25%,1
sub49,d,r,25%,75%,0.9611650485436893
sub49,d,r,75%,25%,0.9166666666666666
sub49,d,r,75%,75%,0.6875
sub49,d,s,25%,25%,0.9166666666666666
sub49,d,s,25%,75%,0.875
sub49,d,s,75%,25%,1
sub49,d,s,75%,75%,0.8932038834951457
sub49,n,r,25%,25%,0.9514563106796117
sub49,n,r,25%,75%,1
sub49,n,r,75%,25%,0.9375
sub49,n,r,75%,75%,0.9583333333333334
sub49,n,s,25%,25%,0.875
sub49,n,s,25%,75%,0.8333333333333334
sub49,n,s,75%,25%,0.912621359223301
sub49,n,s,75%,75%,0.875
sub5,d,r,25%,25%,0.9375
