subject,r_d_25%_25%,r_d_25%_75%,r_d_75%_25%,r_d_75%_75%,r_n_25%_25%,r_n_25%_75%,r_n_75%_25%,r_n_75%_75%,s_d_25%_25%,s_d_25%_75%,s_d_75%_25%,s_d_75%_75%,s_n_25%_25%,s_n_25%_75%,s_n_75%_25%,s_n_75%_75%
sub38,1,0.9166666666666666,1,1,1,0.9166666666666666,0.8333333333333334,1,0.75,1,0.9166666666666666,1,1,1,0.9166666666666666,1
sub39,1,1,0.75,1,0.9166666666666666,1,1,0.9166666666666666,1,1,0.9166666666666666,0.9166666666666666,0.8333333333333334,1,0.9166666666666666,0.9166666666666666
sub4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sub40,0.9166666666666666,1,1,1,0.9166666666666666,1,1,1,0.9166666666666666,0.9166666666666666,0.75,0.9166666666666666,1,0.9166666666666666,1,1
sub41,1,1,1,1,0.8333333333333334,1,1,1,1,1,1,1,0.8333333333333334,0.9166666666666666,1,1
sub42,0.9166666666666666,0.9166666666666666,1,0.8333333333333334,1,1,1,0.9166666666666666,1,0.9166666666666666,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666
sub43,0.8333333333333334,1,0.8333333333333334,0.75,0.8333333333333334,0.9166666666666666,0.8333333333333334,1,0.5833333333333334,0.8333333333333334,1,0.8333333333333334,0.4166666666666667,1,1,1
sub44,1,0.9166666666666666,0.9166666666666666,1,1,1,0.9166666666666666,1,0.8333333333333334,1,0.75,1,0.9166666666666666,0.9166666666666666,1,1
sub45,1,1,0.75,1,1,0.9166666666666666,1,0.9166666666666666,1,0.8333333333333334,0.9166666666666666,1,1,0.8333333333333334,0.6666666666666666,0.8333333333333334
sub46,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,1,1,0.9166666666666666,1,0.6666666666666666,0.9166666666666666,0.8333333333333334,1,0.9166666666666666,1,0.5833333333333334,1
sub47,1,1,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,1,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,1,1,0.9166666666666666
sub48,1,0.9166666666666666,0.5,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.75,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334
sub49,1,0.9166666666666666,1,0.75,1,1,0.9166666666666666,1,0.9166666666666666,0.8333333333333334,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334
sub5,0.9166666666666666,1,0.9166666666666666,1,1,1,0.9166666666666666,1,0.8333333333333334,1,1,1,0.9166666666666666,1,1,1
sub50,0.75,1,1,0.8333333333333334,0.9166666666666666,1,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666
sub51,0.6666666666666666,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5,0.8333333333333334,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
sub52,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,1,0.9166666666666666,1,0.8333333333333334,1
sub53,0.75,0.9166666666666666,0.8333333333333334,0.75,0.8333333333333334,1,1,1,0.8333333333333334,0.8333333333333334,0.75,0.9166666666666666,0.75,1,0.9166666666666666,0.9166666666666666
sub54,0.75,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.5833333333333334,0.9166666666666666,0.5,0.9166666666666666,0.3333333333333333,0.9166666666666666,0.6666666666666666,1,0.4166666666666667,0.9166666666666666,0.75,0.9166666666666666
sub55,0.9166666666666666,1,1,1,1,0.8333333333333334,1,1,1,1,1,0.9166666666666666,1,0.9166666666666666,1,1
sub56,1,0.9166666666666666,0.75,1,0.9166666666666666,1,1,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.8333333333333334,1,0.8333333333333334
sub57,0.9166666666666666,1,1,0.9166666666666666,1,1,0.9166666666666666,1,1,0.9166666666666666,1,0.75,0.9166666666666666,1,1,0.9166666666666666
sub58,0.8333333333333334,1,1,1,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.8333333333333334,1,1
sub59,0.9166666666666666,1,0.9166666666666666,1,0.9166666666666666,0.8333333333333334,1,1,0.9166666666666666,1,0.9166666666666666,1,0.9166666666666666,1,0.9166666666666666,0.9166666666666666
sub6,1,0.8333333333333334,1,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,1,1,0.75,1,1,1,0.8333333333333334,0.9166666666666666,0.9166666666666666
sub60,0.9166666666666666,0.75,0.75,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.8333333333333334,1,0.9166666666666666,1,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666
sub7,0.9166666666666666,1,0.8333333333333334,1,1,1,1,0.9166666666666666,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,1,1,1,0.8333333333333334
sub8,0.8333333333333334,1,1,0.9166666666666666,1,1,0.8333333333333334,0.9166666666666666,1,0.9166666666666666,0.9166666666666666,0.6666666666666666,1,0.9166666666666666,0.8333333333333334,1
sub9,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.8333333333333334,1,0.8333333333333334,0.9166666666666666,0.9166666666666666,1,0.8333333333333334,0.9166666666666666,0.8333333333333334,1,0.8333333333333334,0.75
